Časť:,Číslo:,"Začiatok:, Dátum: ","Začiatok:, Čas: ","Koniec:, Dátum: ","Koniec:, Čas: ",Viditeľnosť,Viditeľnosť vzorákov,Výsledky sú finálne
"1. (Zimná) časť, 24. ročník KMS",1,1.9.2002,0:00:00,1.10.2002,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 24. ročník KMS",2,1.9.2002,0:00:00,1.11.2002,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 24. ročník KMS",3,1.9.2002,0:00:00,1.12.2002,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 24. ročník KMS",1,1.1.2003,0:00:00,1.3.2003,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 24. ročník KMS",2,1.1.2003,0:00:00,1.4.2003,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 24. ročník KMS",3,1.1.2003,0:00:00,1.5.2003,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 25. ročník KMS",1,1.9.2003,0:00:00,1.10.2003,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 25. ročník KMS",2,1.9.2003,0:00:00,1.11.2003,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 25. ročník KMS",3,1.9.2003,0:00:00,1.12.2003,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 25. ročník KMS",1,1.1.2004,0:00:00,1.3.2004,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 25. ročník KMS",2,1.1.2004,0:00:00,1.4.2004,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 25. ročník KMS",3,1.1.2004,0:00:00,1.5.2004,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 26. ročník KMS",1,1.9.2004,0:00:00,1.10.2004,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 26. ročník KMS",2,1.9.2004,0:00:00,1.11.2004,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 26. ročník KMS",3,1.9.2004,0:00:00,1.12.2004,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 26. ročník KMS",1,1.1.2005,0:00:00,1.3.2005,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 26. ročník KMS",2,1.1.2005,0:00:00,1.4.2005,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 26. ročník KMS",3,1.1.2005,0:00:00,1.5.2005,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 27. ročník KMS",1,1.9.2005,0:00:00,1.10.2005,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 27. ročník KMS",2,1.9.2005,0:00:00,1.11.2005,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 27. ročník KMS",3,1.9.2005,0:00:00,1.12.2005,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 27. ročník KMS",1,1.1.2006,0:00:00,1.3.2006,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 27. ročník KMS",2,1.1.2006,0:00:00,1.4.2006,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 27. ročník KMS",3,1.1.2006,0:00:00,1.5.2006,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 28. ročník KMS",1,1.9.2006,0:00:00,1.10.2006,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 28. ročník KMS",2,1.9.2006,0:00:00,1.11.2006,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 28. ročník KMS",3,1.9.2006,0:00:00,1.12.2006,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 28. ročník KMS",1,1.1.2007,0:00:00,1.3.2007,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 28. ročník KMS",2,1.1.2007,0:00:00,1.4.2007,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 28. ročník KMS",3,1.1.2007,0:00:00,1.5.2007,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 29. ročník KMS",1,1.9.2007,0:00:00,1.10.2007,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 29. ročník KMS",2,1.9.2007,0:00:00,1.11.2007,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 29. ročník KMS",3,1.9.2007,0:00:00,1.12.2007,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 29. ročník KMS",1,1.1.2008,0:00:00,1.3.2008,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 29. ročník KMS",2,1.1.2008,0:00:00,1.4.2008,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 29. ročník KMS",3,1.1.2008,0:00:00,1.5.2008,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 30. ročník KMS",1,1.9.2008,0:00:00,1.10.2008,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 30. ročník KMS",2,1.9.2008,0:00:00,1.11.2008,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 30. ročník KMS",3,1.9.2008,0:00:00,1.12.2008,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 30. ročník KMS",1,1.1.2009,0:00:00,1.3.2009,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 30. ročník KMS",2,1.1.2009,0:00:00,1.4.2009,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 30. ročník KMS",3,1.1.2009,0:00:00,1.5.2009,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 31. ročník KMS",1,1.9.2009,0:00:00,1.10.2009,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 31. ročník KMS",2,1.9.2009,0:00:00,1.11.2009,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 31. ročník KMS",3,1.9.2009,0:00:00,1.12.2009,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 31. ročník KMS",1,1.1.2010,0:00:00,1.3.2010,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 31. ročník KMS",2,1.1.2010,0:00:00,1.4.2010,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 31. ročník KMS",3,1.1.2010,0:00:00,1.5.2010,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 32. ročník KMS",1,1.9.2010,0:00:00,1.10.2010,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 32. ročník KMS",2,1.9.2010,0:00:00,1.11.2010,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 32. ročník KMS",3,1.9.2010,0:00:00,1.12.2010,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 32. ročník KMS",1,1.1.2011,0:00:00,1.3.2011,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 32. ročník KMS",2,1.1.2011,0:00:00,1.4.2011,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 32. ročník KMS",3,1.1.2011,0:00:00,1.5.2011,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 33. ročník KMS",1,1.9.2011,0:00:00,1.10.2011,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 33. ročník KMS",2,1.9.2011,0:00:00,1.11.2011,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 33. ročník KMS",3,1.9.2011,0:00:00,1.12.2011,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 33. ročník KMS",1,1.1.2012,0:00:00,1.3.2012,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 33. ročník KMS",2,1.1.2012,0:00:00,1.4.2012,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 33. ročník KMS",3,1.1.2012,0:00:00,1.5.2012,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 34. ročník KMS",1,1.9.2012,0:00:00,1.10.2012,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 34. ročník KMS",2,1.9.2012,0:00:00,1.11.2012,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 34. ročník KMS",3,1.9.2012,0:00:00,1.12.2012,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 34. ročník KMS",1,1.1.2013,0:00:00,1.3.2013,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 34. ročník KMS",2,1.1.2013,0:00:00,1.4.2013,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 34. ročník KMS",3,1.1.2013,0:00:00,1.5.2013,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 35. ročník KMS",1,1.9.2013,0:00:00,1.10.2013,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 35. ročník KMS",2,1.9.2013,0:00:00,1.11.2013,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 35. ročník KMS",3,1.9.2013,0:00:00,1.12.2013,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 35. ročník KMS",1,1.1.2014,0:00:00,1.3.2014,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 35. ročník KMS",2,1.1.2014,0:00:00,1.4.2014,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 35. ročník KMS",3,1.1.2014,0:00:00,1.5.2014,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 36. ročník KMS",1,1.9.2014,0:00:00,1.10.2014,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 36. ročník KMS",2,1.9.2014,0:00:00,1.11.2014,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 36. ročník KMS",3,1.9.2014,0:00:00,1.12.2014,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 36. ročník KMS",1,1.1.2015,0:00:00,1.3.2015,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 36. ročník KMS",2,1.1.2015,0:00:00,1.4.2015,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 36. ročník KMS",3,1.1.2015,0:00:00,1.5.2015,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 37. ročník KMS",1,1.9.2015,0:00:00,1.10.2015,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 37. ročník KMS",2,1.9.2015,0:00:00,1.11.2015,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 37. ročník KMS",3,1.9.2015,0:00:00,1.12.2015,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 37. ročník KMS",1,1.1.2016,0:00:00,1.3.2016,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 37. ročník KMS",2,1.1.2016,0:00:00,1.4.2016,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 37. ročník KMS",3,1.1.2016,0:00:00,1.5.2016,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 38. ročník KMS",1,1.9.2016,0:00:00,1.10.2016,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 38. ročník KMS",2,1.9.2016,0:00:00,1.11.2016,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 38. ročník KMS",3,1.9.2016,0:00:00,1.12.2016,23:59:59,TRUE,TRUE,TRUE